HRHHID,OCCURNUM,YYYYMM,PEEDUCA,PEMARITL,PESEX,PRTAGE,PRTFAGE,PERACE,GTCMSA,GESTCEN,PTERNWA,PRVEL,PES3,PES4,PES5,PES6,PES7,PWSSWGT,PWORWGT
207201953890,2,199411,39,1,1,30,0,2,-1,71,280.00,1,2,1,-9,6,2,2536.6898,11192.8762
207201953890,3,199411,-1,-1,2,11,0,2,-1,71,21474836.47,3,-1,-1,-1,-1,-1,1208.3317,4833.3268
207201953890,4,199411,-1,-1,1,3,0,2,-1,71,21474836.47,3,-1,-1,-1,-1,-1,1574.0242,6296.0968
298502009137,1,199411,39,6,2,38,0,2,-1,71,21474836.47,2,-9,-9,-9,-9,-9,1832.7237,7217.0487
298502009137,2,199411,-1,-1,2,14,0,2,-1,71,21474836.47,3,-1,-1,-1,-1,-1,1224.6803,4898.7212
298502009137,3,199411,-1,-1,2,11,0,2,-1,71,21474836.47,3,-1,-1,-1,-1,-1,1208.3317,4833.3268
159920207308,1,199411,39,4,2,56,0,2,-1,71,280.00,1,2,2,-9,6,1,1129.9180,4269.0911
758046009920,1,199411,44,1,1,45,0,1,-1,71,21474836.47,1,1,-9,5,6,2,1248.3196,0.0000
758046009920,2,199411,44,1,2,44,0,1,-1,71,21474836.47,1,1,-9,5,6,1,1149.9856,0.0000
982009706504,1,199411,40,1,1,58,0,1,-1,71,21474836.47,1,1,-9,1,4,1,1157.2742,0.0000
982009706504,2,199411,40,1,2,56,0,1,-1,71,21474836.47,1,1,-9,5,4,2,1205.9900,0.0000
570208964090,1,199411,40,1,1,63,0,1,-1,71,21474836.47,1,2,-2,-9,5,2,1180.8683,0.0000
570208964090,2,199411,40,1,2,58,0,1,-1,71,21474836.47,1,1,-9,2,5,1,1205.9900,0.0000
290605079840,1,199411,45,1,1,63,0,1,-1,71,21474836.47,1,1,-9,3,6,2,1180.8683,0.0000
290605079840,2,199411,43,1,2,58,0,1,-1,71,21474836.47,1,1,-9,3,6,1,1205.9900,0.0000
290605079840,4,199411,43,3,2,89,0,1,-1,71,21474836.47,1,2,2,-9,4,2,1025.2082,0.0000
290605079840,5,199411,40,4,1,27,0,1,-1,71,21474836.47,1,1,-9,-2,2,2,1330.2415,0.0000
990806049865,1,199411,39,1,1,41,0,1,-1,71,21474836.47,1,2,-3,-9,-3,2,1203.6504,0.0000
990806049865,2,199411,39,1,2,36,0,1,-1,71,21474836.47,1,1,-9,2,6,1,1062.7161,0.0000
990806049865,3,199411,36,6,1,16,0,1,-1,71,21474836.47,3,-1,-1,-1,-1,-1,1066.3103,0.0000
889960905640,1,199411,34,1,1,71,0,2,-1,71,21474836.47,1,1,-9,1,6,1,1141.1681,0.0000
889960905640,2,199411,34,1,2,72,0,2,-1,71,21474836.47,1,1,-9,1,6,1,1150.5882,0.0000
809600654989,1,199411,34,3,2,77,0,2,-1,71,21474836.47,1,1,-9,4,6,1,1150.5882,0.0000
809600654989,2,199411,44,6,2,36,0,2,-1,71,21474836.47,1,2,1,-9,6,2,1167.0513,0.0000
809600654989,3,199411,-1,-1,1,5,0,2,-1,71,21474836.47,3,-1,-1,-1,-1,-1,1288.1506,0.0000
008996960458,1,199411,43,4,2,46,0,1,-1,71,21474836.47,1,2,1,-9,6,1,1129.4049,0.0000
008996960458,2,199411,35,4,1,15,0,1,-1,71,21474836.47,3,-1,-1,-1,-1,-1,1124.7951,0.0000
109310031629,1,199411,39,1,1,26,0,1,-1,71,21474836.47,2,-9,-9,-9,-9,-9,1528.6184,5968.9581
109310031629,2,199411,40,1,2,26,0,1,-1,71,21474836.47,2,-9,-9,-9,-9,-9,1609.5914,6438.0701
001693901132,1,199411,34,1,1,81,0,1,-1,71,21474836.47,1,1,-9,1,6,2,1350.8541,5391.0161
001693901132,2,199411,39,1,2,77,0,1,-1,71,21474836.47,1,1,-9,1,6,1,1307.0611,5247.0343
330091290116,1,199411,40,1,1,56,0,1,-1,71,562.50,1,2,1,-9,6,1,1328.9817,5490.9417
330091290116,2,199411,39,1,2,49,0,1,-1,71,21474836.47,1,2,1,-9,6,2,1276.9276,5107.4760
393121190060,1,199411,33,4,2,30,0,1,-1,71,21474836.47,1,2,2,-9,6,1,1387.9731,5998.4650
393121190060,2,199411,-1,-1,2,10,0,1,-1,71,21474836.47,3,-1,-1,-1,-1,-1,1407.6233,5630.4932
393121190060,3,199411,-1,-1,1,8,0,1,-1,71,21474836.47,3,-1,-1,-1,-1,-1,1432.8095,5731.2380
393121190060,4,199411,-1,-1,1,5,0,1,-1,71,21474836.47,3,-1,-1,-1,-1,-1,1235.3809,4941.5236
187208918390,1,199411,40,1,1,40,0,1,-1,71,1923.00,1,1,-9,1,6,1,1364.7205,5493.7817
187208918390,2,199411,40,1,2,39,0,1,-1,71,225.00,1,1,-9,-2,6,2,1459.9292,5848.5196
187208918390,3,199411,35,6,2,15,0,1,-1,71,21474836.47,3,-1,-1,-1,-1,-1,1364.6568,5458.6272
187208918390,4,199411,-1,-1,1,14,0,1,-1,71,21474836.47,3,-1,-1,-1,-1,-1,1353.7220,5414.8880
293101089887,1,199411,43,1,1,52,0,1,-1,71,550.00,1,1,-9,1,6,1,1254.4649,5055.4495
293101089887,2,199411,40,1,2,41,0,1,-1,71,186.23,1,1,-9,3,6,2,1383.5751,5542.6428
293101089887,3,199411,33,1,1,72,0,1,-1,71,21474836.47,3,-1,-1,-1,3,2,1485.0462,5926.5527
293101089887,4,199411,32,1,2,74,0,1,-1,71,21474836.47,3,-1,-1,-1,3,2,1353.9258,5435.1668
819910207883,1,199411,39,1,1,32,0,2,-1,71,1055.25,1,2,2,-9,3,2,1618.9719,7143.5427
819910207883,2,199411,39,1,2,24,0,1,-1,71,280.35,1,2,1,-9,3,1,1372.8257,5370.6829
819910207883,3,199411,-1,-1,1,5,0,1,-1,71,21474836.47,3,-1,-1,-1,-1,-1,1235.3809,4941.5236
819910207883,4,199411,-1,-1,1,1,0,1,-1,71,21474836.47,3,-1,-1,-1,-1,-1,1827.4217,7309.6868
109830178982,1,199411,40,1,2,39,0,1,-1,71,440.00,1,1,-9,4,6,2,1459.9292,5848.5196
109830178982,2,199411,43,1,1,37,0,1,-1,71,664.40,1,1,-9,3,2,1,1483.1804,5970.6506
802091409900,1,199411,40,1,1,36,0,1,-1,71,21474836.47,3,-1,-1,-1,-1,-1,0.0000,6262.2116
802091409900,2,199411,39,1,2,25,0,1,-1,71,218.00,1,2,2,-9,4,2,1565.5529,6186.1889
920049801009,1,199411,43,1,1,43,0,1,-1,71,750.00,1,1,-9,1,6,1,1327.3817,5343.4716
920049801009,2,199411,39,1,2,39,0,1,-1,71,250.00,1,1,-9,1,6,2,1419.9855,5688.5040
920049801009,3,199411,-1,-1,1,10,0,1,-1,71,21474836.47,3,-1,-1,-1,-1,-1,1397.2190,5588.8760
920049801009,4,199411,-1,-1,1,5,0,1,-1,71,21474836.47,3,-1,-1,-1,-1,-1,1201.5808,4806.3232
084002919090,1,199411,43,1,1,41,0,1,-1,71,200.00,1,1,-9,1,6,1,1327.3817,5343.4716
084002919090,2,199411,40,1,2,38,0,1,-1,71,283.00,1,1,-9,1,6,2,1419.9855,5688.5040
084002919090,3,199411,-1,-1,1,14,0,1,-1,71,21474836.47,3,-1,-1,-1,-1,-1,1316.6841,5266.7364
084002919090,4,199411,-1,-1,2,10,0,1,-1,71,21474836.47,3,-1,-1,-1,-1,-1,1369.1106,5476.4424
090100089294,1,199411,40,1,2,53,0,1,-1,71,270.00,1,1,-9,1,6,2,1311.1893,5138.3179
090100089294,2,199411,40,1,1,52,0,1,-1,71,370.80,1,1,-9,3,6,1,1220.1426,4917.1319
090100089294,3,199411,-1,-1,2,13,0,1,-1,71,21474836.47,3,-1,-1,-1,-1,-1,1210.1967,4840.7868
393121190090,1,199411,39,1,1,60,0,1,-1,71,684.69,1,1,-9,3,6,1,1351.2275,5439.4215
